Date,Map,Visitor/Neutral,PTS,Home/Neutral,PTS
5/11/15,cobblestone,Puzzle,11,MVP.karnal,16
5/11/15,cache,MVP.karnal,14,Puzzle,16
5/11/15,cache,Secret,16,nxl,11
5/11/15,inferno,Secret,16,nxl,14
5/11/15,mirage,Liquid,11,Winterfox,16
5/11/15,cache,Luminosity,16,CLG,4
5/11/15,inferno,Luminosity,16,3sUP,4
5/11/15,overpass,Liquid,16,Winterfox,6
5/11/15,dust2,CLG,16,Enemy,6
5/11/15,cache,compLexity,19,Noble,16
5/11/15,cobblestone,compLexity,16,Noble,12
5/11/15,overpass,Winterfox,12,Cloud9,16
5/11/15,cobblestone,Liquid,16,Luminosity,6
5/11/15,mirage,Enemy,6,Conquest,16
5/11/15,inferno,FolloweSports.com,16,compLexity,21
4/11/15,cache,NiP,16,PENTA,7
4/11/15,train,BX3,7,Lions,16
4/11/15,inferno,Reason,16,"Epiphany Bolt",6
4/11/15,cache,G2,16,"LDLC White",7
4/11/15,inferno,G2,12,"LDLC White",16
4/11/15,dust2,"LDLC White",12,G2,16
4/11/15,overpass,NiP,12,HellRaisers,16
4/11/15,cobblestone,uX,16,"Epiphany Bolt",9
4/11/15,inferno,EnVyUs,16,HellRaisers,7
4/11/15,overpass,Lions,7,Epsilon,16
4/11/15,train,Lions,12,Epsilon,16
4/11/15,mirage,EZskins.com,13,E-frag.net,16
4/11/15,dust2,E-frag.net,16,EZskins.com,4
4/11/15,cache,Reason,16,ESC,9
4/11/15,overpass,PiTER,10,Vexed,16
4/11/15,dust2,Vexed,11,PiTER,16
4/11/15,cobblestone,Vexed,16,PiTER,12
4/11/15,mirage,Reason,13,uX,16
4/11/15,mirage,DenDD,16,CSGL,8
4/11/15,cache,DenDD,6,CSGL,16
4/11/15,cache,TwistoFate,10,J2G,16
4/11/15,cache,Publiclir.se,16,BX3,9
4/11/15,inferno,BX3,13,Publiclir.se,16
4/11/15,mirage,"Epiphany Bolt",16,ESC,5
4/11/15,cobblestone,inchk1ng,6,MVP.karnal,16
4/11/15,dust2,MiTH,6,MVP.karnal,16
4/11/15,dust2,MVP.karnal,16,Expendables,3
4/11/15,train,Secret,16,Puzzle,14
4/11/15,cache,Secret,9,Puzzle,16
4/11/15,inferno,Secret,16,Puzzle,9
4/11/15,inferno,nxl,16,MVP.karnal,5
4/11/15,dust2,nxl,16,MVP.karnal,4
4/11/15,cobblestone,compLexity,16,Winterfox,12
4/11/15,cache,Winterfox,12,compLexity,16
4/11/15,inferno,CLG,16,Liquid,12
4/11/15,mirage,Winterfox,2,compLexity,16
4/11/15,train,Conquest,16,SKDC,3
4/11/15,train,3sUP,16,Cloud9,12
4/11/15,inferno,Cloud9,11,compLexity,16
4/11/15,cobblestone,Enemy,25,Winterfox,22
4/11/15,mirage,Liquid,14,FolloweSports.com,16
3/11/15,dust2,AliGon,21,Arcade,19
3/11/15,dust2,PENTA,8,mousesports,16
3/11/15,cobblestone,EnVyUs,9,NiP,16
3/11/15,dust2,MaxAndRelax,2,Arcade,16
3/11/15,train,dignitas,4,NiP,16
3/11/15,overpass,TSM,16,SK,11
3/11/15,overpass,Lions,14,DenDD,16
3/11/15,cache,DenDD,16,Lions,11
3/11/15,overpass,GreyFace,16,mousesports,10
3/11/15,cache,GreyFace,16,mousesports,11
3/11/15,cache,TSM,16,HellRaisers,14
3/11/15,inferno,HellRaisers,11,TSM,16
3/11/15,cache,AliGon,16,Arcade,6
3/11/15,dust2,AliGon,16,Arcade,14
3/11/15,mirage,AliGon,18,Arcade,21
3/11/15,train,Orgless,16,Virtus.pro,9
3/11/15,cobblestone,Orgless,16,Virtus.pro,13
3/11/15,cache,MaxAndRelax,16,Reason,10
3/11/15,inferno,Secret,16,nxl,3
3/11/15,train,Insidious,16,Puzzle,7
3/11/15,cache,Enemy,12,"Games Academy",16
3/11/15,inferno,Enemy,9,"Games Academy",16
2/11/15,mirage,Reason,5,AliGon,16
2/11/15,cache,AliGon,8,Reason,16
2/11/15,train,AliGon,16,Reason,1
2/11/15,dust2,MaxAndRelax,21,Arcade,26
2/11/15,mirage,Arcade,21,MaxAndRelax,18
1/11/15,mirage,PiTER,16,stfuNerd,7
1/11/15,cobblestone,stfuNerd,4,PiTER,16
1/11/15,cobblestone,"Natus Vincere",5,EnVyUs,16
1/11/15,train,EnVyUs,16,"Natus Vincere",14
1/11/15,overpass,Refuse,5,"Vega Squadron",16
1/11/15,cache,Refuse,13,"Vega Squadron",16
1/11/15,mirage,Refuse,16,"Vega Squadron",8
1/11/15,dust2,"Natus Vincere",16,NiP,6
1/11/15,train,NiP,3,"Natus Vincere",16
1/11/15,inferno,Publiclir.se,6,MIXCAT,16
1/11/15,cobblestone,MIXCAT,11,Publiclir.se,16
1/11/15,mirage,Publiclir.se,13,MIXCAT,16
1/11/15,cache,Publiclir.se,8,MIXCAT,16
1/11/15,cache,EnVyUs,16,G2,7
1/11/15,inferno,G2,21,EnVyUs,25
1/11/15,dust2,EnVyUs,10,G2,16
31/10/15,cache,volgare,8,uX,16
31/10/15,inferno,volgare,14,uX,16
31/10/15,overpass,Luminosity,13,"Natus Vincere",16
31/10/15,dust2,"Natus Vincere",16,Luminosity,14
31/10/15,cache,Enervate.A,5,ESC,16
31/10/15,dust2,Enervate.A,13,ESC,16
31/10/15,dust2,TSM,8,NiP,16
31/10/15,train,NiP,16,TSM,10
31/10/15,mirage,MIXCAT,16,Torpedo,11
31/10/15,cache,Torpedo,10,MIXCAT,16
31/10/15,train,G2,19,Virtus.pro,17
31/10/15,cache,Virtus.pro,10,G2,16
31/10/15,mirage,Publiclir.se,16,RCTIC,13
31/10/15,cobblestone,Publiclir.se,16,RCTIC,9
31/10/15,cache,fnatic,2,EnVyUs,16
31/10/15,cobblestone,EnVyUs,16,fnatic,9
31/10/15,mirage,EnVyUs,9,fnatic,16
31/10/15,mirage,BX3,8,MIXCAT,16
31/10/15,dust2,BX3,3,MIXCAT,16
31/10/15,train,m0nster,16,MiTH,8
31/10/15,cache,m0nster,16,Expendables,5
30/10/15,dust2,"KoN Sweden",8,"KoN Finland",16
30/10/15,inferno,"KoN Sweden",16,"KoN Denmark",11
30/10/15,inferno,"Natus Vincere",16,CLG,8
30/10/15,cobblestone,CLG,16,"Natus Vincere",10
30/10/15,train,"Natus Vincere",16,CLG,9
30/10/15,mirage,MaxAndRelax,16,"European Misfits",3
30/10/15,cache,"European Misfits",16,MaxAndRelax,12
30/10/15,dust2,"European Misfits",11,MaxAndRelax,16
30/10/15,inferno,"KoN Norway",10,"KoN Sweden",16
30/10/15,dust2,NiP,16,Titan,1
30/10/15,cache,Titan,14,NiP,16
30/10/15,mirage,PiTER,3,ttc,16
30/10/15,cache,PiTER,14,ttc,16
30/10/15,cobblestone,ajuri,3,Torpedo,16
30/10/15,cache,ajuri,8,Torpedo,16
30/10/15,dust2,ESC,10,Enervate,16
30/10/15,cache,Enervate,16,ESC,4
